one,two,three,four,key
0.4679763002,-0.03864853963,-0.295344252,-1.824726227,L
-0.3588934695,1.4044526,0.7049646449,-0.200638304,B
-0.5018403993,0.6592537072,-0.4216906193,-0.05768830184,G
0.2048862122,1.074133965,1.388361313,-0.9824040235,R
0.3546279145,-0.1331158523,0.283762638,-0.8370629617,Q
1.817480016,0.7422727226,0.4193948439,-2.251035205,Q
-0.7767643192,0.9355177471,-0.3328717596,-1.875640854,U
-0.9131349616,1.530623512,-0.5726567192,0.477252253,K
0.3584795382,-0.4975719915,-0.367016188,0.5077017787,S
-1.740877108,-1.160416581,-1.637830279,2.172201012,G
0.2405637384,-0.3282491852,1.252155258,1.072796266,8
0.7640182522,1.165476172,-0.6395442626,1.49525752,R
0.5710349232,-0.3105372243,0.5824372747,-0.2987651796,1
2.317658109,0.4307095063,-1.334215734,0.1996794836,P
1.547770735,-1.119752925,-2.277633545,0.3295859099,J
-1.310608117,0.4017190866,-1.000987074,1.15670835,E
-0.0884964397,0.634711729,0.1533239858,0.4153347511,B
-0.01866282601,-0.247487241,-1.446522157,0.7509377487,A
-0.07012721455,-1.579097261,0.1208917949,0.671431885,F
-0.1946779407,-0.4920391503,2.35960485,0.3198103962,H
-0.2486178472,0.8687065872,-0.4922261438,-0.7179593819,W
-1.091548954,-0.8671102261,-0.6477604431,-0.83256156,C
0.6414043001,-0.138821579,-0.621962804,-0.2848394254,C
1.216408468,0.9926866651,0.165161778,-0.06961860822,V
-0.5644741805,0.7928322681,0.7470528429,0.5716751579,I
1.759878995,-0.5156658345,-0.2304806863,1.362317224,S
0.1262660905,0.3092813757,0.3828199614,-0.239199055,L
1.33436048,-0.1001521668,-0.8407305522,-0.6439665983,6
-0.7376200177,0.2780874632,-0.05323524043,-0.9509715907,J
-1.148486485,-0.9862921509,-0.1449631154,0.1243624043,Y
1.630594492,0.243886206,0.4683683064,1.258047874,F
1.044889532,0.08071753856,0.8578855428,-0.2983818025,J
-0.2625425424,-1.615198748,-1.087238714,0.7590290752,T
0.02014407131,1.107791566,-0.559435335,-0.4819252101,M
-1.203915546,1.885343107,-0.08047040684,0.2506458933,J
0.3669145488,-2.430086431,-1.053446963,0.3462788842,A
0.4342204734,-0.07986253867,-0.4229767479,-0.07427217609,I
0.04066569802,-1.810215703,-0.1891927273,1.229266366,G
1.338459432,0.3384890997,-0.2134461051,2.32592342,Q
0.5729810734,0.7826638754,1.307673211,1.619957253,X
0.7624284471,-0.6485287989,1.936514737,-1.159665613,J
-1.252045578,-1.53853949,1.042281382,0.6238351218,A
-0.04753021406,-0.4943101997,-0.1654600189,0.4729290325,J
0.124547712,0.7307914502,-0.2575268509,-1.511256649,G
0.8018892377,-0.4627806214,-1.734620833,0.6747683194,R
-0.9923066665,-1.096830079,-2.061794302,0.03539060596,R
-0.1096627749,2.577093766,0.9135625224,0.6135940502,V
-0.5416809063,1.510031355,0.4679448254,0.5532250378,N
-0.07958657376,-0.6099236978,0.353834229,1.108030059,M
-0.04375164626,-0.410666386,-0.7295990364,0.2632233717,P
-0.7614901774,1.104181916,1.270608664,-0.3192844524,O
-0.804975073,0.5595201383,1.052232265,-0.6455742658,F
0.353941054,1.829962698,0.3989220264,-1.522231317,O
1.541636405,0.478316069,-0.6667603273,1.367174948,X
-0.9876208423,0.3375342884,0.386934953,1.996143918,Z
-0.3534623203,-0.4484334521,-0.4205202916,0.6062232066,N
-0.2756871221,0.1279103639,0.8777555721,0.1417742943,6
0.4488820701,-0.0164103203,-0.04143429139,0.4830964803,6
-0.04376495783,-0.8784459169,1.525075352,0.008223164793,Q
-0.06441558357,0.08092057499,0.6447152023,0.3930251208,T
0.01501830895,-1.620300913,0.4658655526,1.637376626,X
0.5797153772,-0.5656459824,-0.812128962,1.532802604,H
-0.3245071671,1.853350636,-2.268609102,-0.3551317091,F
-0.1002467425,-1.954613958,0.1325187749,0.8369267529,K
0.2757250878,0.3495611387,-0.6177229751,0.6759908981,F
0.3004863116,-0.9143673423,-1.604608824,-0.9054584994,P
-0.3623823933,0.708360645,-0.3883167393,-2.328762996,I
0.8053309554,0.07361681785,0.4811662239,0.6326207592,Q
0.7860953661,0.0951374088,-1.049964729,1.828798331,K
0.2078150266,1.40727519,-1.044799601,0.1402074995,2
1.809749638,0.5920231392,-0.1462148366,-0.1138176917,J
0.1905621468,-2.886358759,0.5143647813,-2.208118057,F
0.8449771181,-0.1642901848,0.2186723955,0.09901154769,D
0.1950350851,-0.6495906555,2.171663861,0.4534655588,I
-0.05643336539,1.758650435,-0.448091017,0.346784396,C
-0.1126091539,-2.642457014,-0.4873099415,-0.2205071077,K
-1.395319122,0.5734740138,-0.01332369053,-1.307070486,C
-2.080272778,0.09749814836,0.3214891663,0.01260767226,E
0.8831716462,0.4904269849,-0.7992992865,-0.6996687925,U
-0.1386319665,-1.417844823,-0.1996782776,1.199298675,V
-0.9615793296,1.166246858,-1.124953323,0.2017278358,D
1.301453477,1.077117137,0.5605024606,0.8599911272,U
0.06367934447,-0.9955320835,0.8795472237,-0.0124713077,R
-0.3733811118,0.9828611693,-0.03753414469,-1.337855806,G
1.492292227,0.4854904311,0.1293132928,1.73356874,Y
-0.9084915265,0.4982342758,-0.5888436972,-0.9039561885,8
1.137139758,0.9775091039,-0.9409939155,0.1490128667,7
-1.049838031,2.453425099,1.230087414,-2.068507607,K
1.485198939,-0.8064534581,-0.4750871166,0.9368013684,D
-0.7904369111,1.82385153,0.4708267397,0.8987819759,J
2.024808084,0.03225064963,1.315297421,-0.1564325296,S
0.3792530027,-1.059409241,-1.132068032,1.222296044,I
2.40321606,-1.792528364,-0.9175726801,-0.8866929721,T
1.249974708,1.491529966,0.3714758059,-0.000464620421,C
0.5011306007,-1.85245098,1.110354347,0.5088647338,E
1.106521282,0.09815309972,0.7897932346,1.192692543,T
-0.5405425955,1.78256922,0.051931096,0.4638676559,Q
-0.1019798904,0.9817202223,1.106990181,-1.752269329,M
0.6321073813,-0.7614192364,1.427930441,-0.04692835889,F
1.009778609,-0.608379337,-1.405105056,-1.175054059,F
-0.6027479447,-0.1825035144,-0.7681639684,1.260686358,X
-0.03910543399,-0.06950998244,-1.35805194,-0.2928586204,0
-0.3451005738,-0.1794768706,-0.9046576644,-0.07128674731,T
-0.7594951189,0.2259162457,2.235871761,-0.004489808231,X
-1.68677052,0.7422755165,0.4858759963,1.798507113,Q
0.1456973164,0.8050372956,0.3503618304,-0.5402346794,O
2.487653696,-0.1478671218,0.5806882012,-0.3056961731,S
0.3801659129,-0.5924832796,0.3936933778,-0.4632166027,M
0.963549026,-1.550301927,-0.9449622571,0.1215462535,K
-0.04038461304,-0.3126485679,-1.196603909,1.075043186,S
0.9383566284,-0.2357611043,-0.07736031131,1.162150155,4
0.1903032612,-0.4254728608,0.3623473821,-0.6887106608,U
0.2564191611,0.0826694188,-2.302758248,-0.4461152201,6
0.6909716648,0.8714983957,0.9484688916,0.6446833684,7
-1.157781325,0.09369617845,-0.7652728157,-0.7247668249,Q
-0.2954622337,-0.8328171497,1.490203739,-0.4207862046,F
0.1327229622,-1.255780389,1.370007717,1.144489918,I
-0.1113806762,0.5720762029,1.807961905,1.090204744,N
0.1786997458,-1.608832348,2.174614839,-1.351738498,6
1.202182567,0.1795825522,0.2020612149,-0.7312131321,F
-0.674446571,-0.1847026662,0.7067212513,0.7186808038,H
1.765535446,-0.9519315799,0.3201465102,-1.159349525,Z
-1.247884986,-0.725490485,0.5419976065,-0.1265721438,W
-1.164044546,-0.6476189612,-0.5502832659,1.164943404,H
1.816132556,-0.3933824655,-1.212910115,-0.3171865978,C
0.4998828908,-1.183631101,-0.6386193148,-0.785336776,Y
